date,title,label,object,domain,pmi,score_RISK,week
2026-01-15,Kia Pakai Pabrik Hyundai di Cikarang untuk Produksi Mobil,EXECUTION,Nickel & EV,Industrial & Investment,4.9,0.0,2026-01-12
2025-01-09,"Presiden Prabowo Ingin Koperasi RI Bisa Bangun Pabrik CPO hingga Punya Smelter seperti di Luar Negeri, Aturannya Segera Terbit",POLICY,General,Industrial & Investment,4.92,0.0,2025-01-06
2025-06-18,Ini Alasan KKP Sebut Ekosistem Perairan Raja Ampat Tak Terdampak Tambang Nikel,DISCOURSE,Nickel & EV,Mining & Upstream,3.0,0.0,2025-06-16
2025-09-19,"Siapkan Rp 9,9 Triliun untuk Hilirisasi Perkebunan, Mentan: Buka 1,6 Juta Lapangan Kerja",IMPACT,General,Industrial & Investment,4.95,0.0,2025-09-15
2026-01-07,Pemerintah Diminta Serius Bina Industri Tembakau di Madura,DISCOURSE,General,Industrial & Investment,3.24,0.0,2026-01-05
2025-09-11,"Bahlil Rapat Bareng Menhan hingga Panglima TNI, Bakal Tata Pertambangan Timah di Babel",DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-09-08
2024-02-19,Arif Mengolah Produk Ikutan Produk Tambang,DISCOURSE,Other Minerals,Industrial & Investment,3.2,0.0,2024-02-19
2025-11-12,Bahlil soal Penerbitan IUP di Raja Ampat: Saya Belum Ada di Muka Bumi!,IMPACT,Nickel & EV,Mining & Upstream,4.38,0.0,2025-11-10
2025-08-18,"HUT Ke-80 RI, Freeport Wujudkan Pertambangan Tembaga Terintegrasi Terbesar di Dunia",EXECUTION,Other Minerals,Industrial & Investment,5.0,0.0,2025-08-18
2024-10-11,"Saat Sandra Dewi Bersaksi untuk Harvey Moeis, Akui Transfer Rp 10 M ke Istri Bos Smelter",DISCOURSE,Other Minerals,Industrial & Investment,1.01,-4.0,2024-10-07
2025-05-08,"Bahlil Ungkap Nikel Jadi Barang Mewah, Bikin China-AS Datangi Indonesia",DISCOURSE,Nickel & EV,Trade & Export,1.09,-2.5,2025-05-05
2024-10-15,"Kebakaran Smelter Gresik Dipadamkan, Freeport Segera Cari Penyebabnya",EXECUTION,Other Minerals,Industrial & Investment,5.0,0.0,2024-10-14
2025-12-10,"Gubernur Rudi Masud Bahas Potensi Banjir Kaltim, Sebut Tambang Bukan Faktor Tunggal",POLICY,General,Mining & Upstream,4.27,0.0,2025-12-08
2024-12-18,"Penyebab Ledakan Smelter Titanium di Karawang Masih Diselidiki, Butuh Ahli Metalurgi",DISCOURSE,Other Minerals,Industrial & Investment,1.09,-2.5,2024-12-16
2025-12-06,"2 Negara yang Tidak Bergantung pada Tambang tapi Kaya Raya, Mana Saja?",DISCOURSE,Other Minerals,Trade & Export,3.0,0.0,2025-12-01
2025-08-05,"Dukung Sulteng Jadi Lumbung Kakao, Badan Bank Tanah Siapkan Lahan HPL",DISCOURSE,General,Industrial & Investment,3.0,0.0,2025-08-04
2024-03-27,"Dampak Kasus Korupsi, Lebih dari 100 Karyawan Smelter Timah Dirumahkan",EXECUTION,Other Minerals,Industrial & Investment,4.27,-6.0,2024-03-25
2025-11-30,"Bahlil Siapkan Dua Proyek Hilirisasi di Kalteng, Bagian dari Investasi Rp 618 Triliun",DISCOURSE,Other Minerals,Industrial & Investment,3.0,0.0,2025-11-24
2024-07-29,Kepala Departemen PT GNI Beri Motivasi Karier pada MPLK Politeknik Tridaya Virtu Morosi,DISCOURSE,Nickel & EV,Industrial & Investment,3.0,0.0,2024-07-29
2026-01-01,ESDM Amankan 70.000 Ton Batu Bara Diduga dari Tambang Ilegal di Kaltim,DISCOURSE,Other Minerals,Mining & Upstream,3.0,0.0,2025-12-29
2025-12-29,"Pasar Timur Tengah Menggoda, Pengusaha Minta Kepastian Kebijakan Jaga Industri Mebel dan Kerajinan",IMPACT,General,Trade & Export,4.11,0.0,2025-12-29
2025-11-06,"Pertanian Sumbang 14,35 Persen PDB Nasional, Mentan Dorong Ekspor",DISCOURSE,General,Trade & Export,3.0,0.0,2025-11-03
2024-04-10,"Pembangunan 94 Persen, Bos Freeport Indonesia Sebut Smelter Gresik Bakal Beroperasi Juni 2024",EXECUTION,Nickel & EV,Industrial & Investment,5.0,0.0,2024-04-08
2026-01-15,Gappri Minta Dilibatkan dalam Rencana Penambahan Layer Cukai Rokok,POLICY,General,Industrial & Investment,1.22,-3.0,2026-01-12
2025-11-26,Cerita Hyundai Kehilangan Dominasi Pasar Mobil Listrik di Indonesia,DISCOURSE,Nickel & EV,Trade & Export,3.2,0.0,2025-11-24
2025-10-24,Presiden Brasil Puji Hilirisasi Nikel RI: Contoh Penting Bagaimana Menarik Investasi,DISCOURSE,Other Minerals,Industrial & Investment,3.88,0.0,2025-10-20
2026-01-15,Industri Semen Diproyeksi Bangkit di 2026,DISCOURSE,General,Mining & Upstream,3.47,0.0,2026-01-12
2025-12-11,Tambang Ilegal dan Ketidakpastiaan Tata Kelola,POLICY,Nickel & EV,Mining & Upstream,4.27,0.0,2025-12-08
2025-08-24,"Saatnya Perkebunan Naik Kelas: Ekspor Olahan, Bukan Sekadar Mentah",DISCOURSE,General,Trade & Export,3.0,0.0,2025-08-18
2025-06-11,"Bukan Bahlil, Siapa Menteri ESDM yang Terbitkan Izin Tambang Nikel di Raja Ampat?",EXECUTION,Nickel & EV,Mining & Upstream,5.0,0.0,2025-06-09
2024-09-23,"Jokowi Resmikan Produksi Smelter Freeport di Gresik, Investasi Capai Rp 56 Triliun",EXECUTION,Other Minerals,Industrial & Investment,4.88,0.0,2024-09-23
2025-06-10,"Tolak Tambang di Raja Ampat, Cinta Laura: Jangan Rusak Surga Terakhir Dunia",DISCOURSE,Nickel & EV,Sustainability & ESG,3.0,0.0,2025-06-09
2025-12-22,Industri Finansial Dituding Berkontribusi terhadap Bencana di Sumatera,DISCOURSE,General,Sustainability & ESG,3.0,0.0,2025-12-22
2024-07-15,"Cegah Kecelakaan Kerja, Ini Alasan Perusahaan Wajib Laksanakan Prosedur K3",POLICY,Nickel & EV,Sustainability & ESG,4.91,0.0,2024-07-15
2025-10-22,"Gali Pendapatan, Gubernur Kalteng Wajibkan Perusahaan Tambang Bayar Sejumlah Pajak, Apa Saja?",EXECUTION,Coal & Energy,Sustainability & ESG,2.51,-5.0,2025-10-20
